"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"1115","PGM5","ANXA6","HLA-DOA","SIRPB1","ALG8","TSPAN4","GEMIN6","JUP","SNRPD2","PPTC7","PSEN2","COBLL1","CALR","PCYT1A","ZWILCH",NA,"IER3",NA,"LBR","ZNF649",NA,"SLC25A33","HOMER3","NCAPD2","LRP2","PAPSS1","AVPR1B","YWHAG","S1PR3","DPCD","MAGEF1","RELB","PSTPIP2","UBE2NL","NUCB1","SYK",NA,"LRP11","MRPL37","AKR1B10"
"1116","PPM1L","HMGB2","RBM38","STK17B","PTBP1","C1ORF186","HADH","RASAL2","CHCHD1","TXN","SH3BP1","HIST1H3G","GRB10","C6ORF62","ATL3",NA,"MRPS35",NA,"PEMT","CYSTM1",NA,"VPS26A","SFXN1","ALG6","MTHFD2","SRXN1","GADD45A","AMZ2P1","SLC31A2","MICA","PRDX2","ZNF407","PURA","SH3BGRL","PHLDA3","ITGA2",NA,"LRIG1","CALHM2","NUDT19"
"1117","TRIOBP","PDGFA","TAF6","ATP6V1F","TSKU","LMCD1","TP53","TMEM161A","EML1","CARD11","U2AF2","ITGA2","FEM1A","CTNNAL1","HSPA9",NA,"TIGD5",NA,"SEPT1","KIAA1522",NA,"RYR1","BCAR1","CDC23","AKNA","HNF1B","PPP1CA","APOBR","MCAM","NDUFA1","STAG3","DPYD","ATP9A","C17ORF82","TAPBP","PTGDR",NA,"ATN1","IL10RB","PHF13"
"1118","IL17RC","PFKFB3","ALG6","CD46","DPY19L3","SEPN1","SLC46A3","VPS37C","MRPL47","CENPE","ETS1","PLCD3","NDUFA1","PTGR1","MYPN",NA,"ADM",NA,"TRIM5","PKD2",NA,"SWAP70","ARRB1","IPO4","NDST1","SLC35E3","CDC25C","BOLA3","PKN1","UBE2NL","ZNF232","FRMD4B","NDUFV1","HOXC9","CORO1B","SNORA25",NA,"CTSC","RPL35A","SDHD"
"1119","RBBP8","CBR1","DBI","QDPR","HAUS8","ADAP1","TAOK3","GDF15","MTCH1","MYBL2","TMEM88","CTBP2","XRCC2","TUBB","SEMA5A",NA,"GNAI2",NA,"TUBA1A","RPL13A",NA,"TMEM147","PTGR1","TFDP1","TSC22D3","CDK2AP2","CDK2AP1","CA5BP1","TPST1","XRCC5","MTUS1","SORT1","ZNF275","AK5","CYBA","VDR",NA,"NTS","STT3A","EDIL3"
"1120","IFI30","CRYM","FAM78A","TMEM2","LRRC20","C10ORF10","CHPT1","IFI44","MUM1L1","ACBD6","CHPF","IRS1","ACADVL","FAM24B","BOC",NA,"SLC7A7",NA,"NDUFA10","SLC39A4",NA,"ZNF579","MDGA1","UNC13B","CGNL1","DNAJC15","JAZF1","DENR","JAG2","DAB2","TMED7","KCNAB2","FCHO2","ARPC5","FXR1","VPS45",NA,"NPPB","KCNN4","GGT5"
"1121","SULF2","FAR1","PSENEN","ATM","HIST1H4F","LYRM5","CSK","MAN1A1","THBS2","FAM47C","IMPA2","ERCC6","APOBEC3G","SEC22C","CIC",NA,"TPSAB1",NA,"BUB1","H2AFV",NA,"ATP1A1","SNRNP70","WDR81","SFXN4","MAP3K11","RFC2","ERLIN1","TNFAIP6","H2AFX","CTSF","PMAIP1","ADO","MAP4K3","HK1","ZNF592",NA,"SAMD3","UHMK1","P4HB"
"1122","WIPI1","PAQR8","ILF3","GLCCI1","NOP58","OXCT1","PAPSS1","SLC37A3","UBE2NL","BARHL1","IL32","NAA50","C3ORF35","SRPRB","C15ORF52",NA,"TRA2A",NA,"CPT1A","HIF1A",NA,"BZW2","TREX1","TSEN34","NDRG4","RPL5","CPNE3","NUDT15","ADAM15","LRIG3","NID2","RPGRIP1","BOLA3","PIM1","KYNU","AOAH",NA,"SLC38A5","ADCY7","PTMS"
"1123","CD55","AKR1B1","PDE7A","H2AFY","ZMYND19","PPDPF","TMEM161A","ADAM8","USP28","SLC20A1","PELI3","SLC7A11","POLD1","HNRNPU","ATP13A3",NA,"TXNL1",NA,"MAP4K2","MFAP5",NA,"ATP6V1H","FAM13B","UBE2L6","SALL2","AARS","HK1","OAT","PRDX1","PELI1","PFKFB3","C5ORF56","CYP51A1","USP12","SMARCA1","EAF2",NA,"STK17B","GTF3A","GP9"
"1124","OBSL1","CAND2","UBE2E1","IQGAP1","AIFM2","STAM","TXNRD3","AP2M1","CCNC","HNRNPUL2","ABCG1","CD46","PRMT3","MRPL24","CTNNA1",NA,"ASB13",NA,"PDE4D","DEFB124",NA,"CORO1B","MCOLN3","PTOV1","EVL","STAG2","HOXC8","DENND4B","STYK1","RNF165","USP1","DENND5A","FAM98B","PLBD1","SORBS3","SPRR4",NA,"CCT8","PFKP","PCDHB12"
"1125","REEP3","SERPINF1","VPS25","NAMPT","CDCA4","GLDN","UQCRQ","CALHM2","NECAB2","IL17C","C5ORF56","NOTCH1","CLTC","RAD18","FADS3",NA,"PPP1R18",NA,"SLC25A26","PTMS",NA,"GNAQ","ZFYVE26","ZNF593","KCNMA1","STAT5A","NCOA6","CETN3","ZFP36L1","SERPINF1","CCNJ","MKL1","HAPLN3","ROCK2","CLU","TLR2",NA,"CMIP","GAR1","RPL38"
"1126","SLC25A18","GPC1","CCDC60","BIRC3","F2R","PITPNB","JAGN1","MZT1","CRELD2","SPTAN1","GDPD3","PHLDB1","HIST1H4D","SMC3","LSM7",NA,"EIF3E",NA,"SMC1A","CDA",NA,"PIM1","AK2","CRY1","MAGED1","TLN1","STEAP1B","DGKG","ENO2","MIAT","HELLS","ELOVL5","IL32","MKX","ICAM5","TRADD",NA,"MELK","MAPK6","ETHE1"
"1127","TWIST1","GPR155","FAM111A","CEACAM21","YWHAE","S1PR4","TRA2A","ARHGEF3","POLA1","TES","PDE4DIP","RAC2","HNRNPL","TNKS1BP1","CH25H",NA,"COQ2",NA,"BAZ2B","CDIPT",NA,"SEMA4A","FAR2","GYG1","TRIM59","XRN2","ARHGDIB","TKT","TRAM1","BEND5","HSD17B11","LRCH4","PAM","HLA-DRA","LMOD1","APOL3",NA,"SLC25A23","NDUFA11","MYBL2"
"1128","GLIPR2","PPIC","MRPS17","MZT2A","CHD7","ALDH2","ZNF579","RIPK2","ELMO1","FAR1","UTRN","BDKRB2","PARP12","APOM","EMX2",NA,"FLNA",NA,"COPS8","FANCL",NA,"TUBA1C","INPP5F","C1ORF131","ARAP2","EEFSEC","EZR","MAN2C1","CLEC2B","EID1","OXCT1","ZNF33A","RAB9A","NUB1","ALDH1L2","DDX47",NA,"SPRED3","SFN","TBC1D8"
"1129","HIST1H3I","PRNP","TBCA","TNFRSF1A","ENG","TANC1","NDUFS3","FAM213B","PRPF4B","HEG1","CARD8","CALM1","PGM2L1","DGUOK","HSBP1L1",NA,"UBE2J1",NA,"CREB3L4","GCH1",NA,"RAB8A","NDN","PRPF4B","MZT2A","LFNG","HECW2","NLRP12","MEX3D","NEO1","TSPO","ZNF438","TFDP2","TCAP","CCNF","FOXP1",NA,"USP53","SRRM2","TRIAP1"
"1130","TMC6","SASH1","ZNF469","C12ORF57","PCBP1","TMEM216","NOC3L","GAB2","TAF9","NDRG4","CYSLTR1","CPE","IREB2","EIF4E2","MATR3",NA,"ZNF664",NA,"DCTPP1","PTPN12",NA,"RALGAPA1","SLC25A13","PRPF8","STRN4","NCSTN","LMOD1","ALG3","NIPSNAP1","OLFM1","ZBTB20","AIM1","AMOT","AIFM2","FKBP14","GUSB",NA,"WNT5B","TMEM60","BCL9"
"1131","LHFP","MTMR11","ERAP2","IKZF1","KHNYN","B3GNT3","RPL22","LAMB3","ALG14","PRPH","EXOC3","EIF5A","PHF1","H2AFJ","TNKS1BP1",NA,"AKR7A3",NA,"HMGN5","RBBP8",NA,"SLC11A2","TRIM9","TCEAL1","TRIO","PSMC3","RAPH1","ATP13A1","SCD5","ZBTB20","ZNF415","GALNT3","CD63","DUSP6","NFKBIZ","PARD3",NA,"ARRDC3","TRA2A","BRI3"
"1132","PON2","PDZD11","GNAI3","RAPGEF5","KIFAP3","FNDC3B","SNORA68","SAP25","FZD6","RPL8","KDM5C","KCNN4","ACYP1","NCAPD2","ZWINT",NA,"ARPC1B",NA,"MRPL37","SLC27A3",NA,"ARHGEF6","ATOX1","ACCS","GLDC","SLC30A3","TSPAN4","HSPA1A","SLC7A7","AHR","ANO5","RIN3","PFKFB3","FBXO32","PDAP1","ASAP1",NA,"DAAM2","BST2","C5ORF46"
"1133","FGFRL1","ZNF579","PQBP1","IMP3","MED24","MKX","ZNF469","ISG20","MAK16","AMOT","SETD1B","VLDLR","MDN1","RHEBL1","ARRDC4",NA,"CAPZA2",NA,"ST6GALNAC4","ACVR2B",NA,"CXCR1","LAMP2","ALAD","HIF1A","TNFAIP6","SH3BGRL","ABCC10","SUSD5","CCP110","NCOA7","RXRA","TSPAN32","RAI1","RANBP17","CYP11B2",NA,"DPYD","C11ORF1","RGS10"
"1134","RASSF8","CXCR1","PRDX4","STIL","SHFM1","NUDT19","ACPT","VAT1","ITGAE","C20ORF203","LIPE","DAPK1","PPP2R5B","SPARC","NME1",NA,"CUX2",NA,"TAOK3","ITGAE",NA,"GAK","LRP11","CXCR4","PLP2","GLTSCR2","ENDOD1","ALG6","TNS1","COL9A1","CEP95","SVIL","CEBPZ","G6PD","LDB2","GSTO1",NA,"ANKRD12","IQSEC1","TUBA1A"
"1135","ALDH3B1","GBP1","RALGAPA1","MRPL37","FKBP11","PTGER1","S100A11","CORO1A","KISS1R","RAB8A","MFSD3","DOCK9","SEMA5B","CEP41","PTGIR",NA,"ERP29",NA,"DPP7","NCL",NA,"LACTB2","PKMYT1","GNAI1","PRRC2A","UBL3","FAM46B","CDCA8","BCL2L1","MBTD1","EXOC3L2","ZBTB7B","PIP4K2C","GJB1","CBX4","NCOA6",NA,"EID1","IRS2","TYMP"
"1136","CBX7","SLC25A24","SEPHS2","TERF2IP","ST3GAL1","ARF4","H2AFY2","FAR1","CMTM7","YTHDF1","LILRA2","SMURF2","ANKRD49","FUBP1","MIRLET7BHG",NA,"MRC2",NA,"FAM204A","PSMD5",NA,"NPTN","REEP3","NUP62","TMED7","MGST3","NKRF","NANP","COL22A1","MIS18A","IL34",NA,"S100A8","PARN","ITPR1","ACYP1",NA,"SMPD1","MKKS","VMP1"
"1137","GTF2I","ACOT13","ZNF275","DGAT2","ACAT2","CAND2","MRPS35","PPP1R16A","ZDBF2","MUC2","LRRK2","UQCRC1","DRAM1","HSBP1","MTHFD1L",NA,"MRPS17",NA,"LAMTOR2","TRAPPC1",NA,"PLEKHA1","C9ORF3","PAPD7","CLPTM1","CCDC88C","RPL22L1","PPP1R35","CRELD2","SRGAP3","NCL",NA,"TERF2IP","AK8","STX3","AP3M2",NA,"GJA4","RPS14","MR1"
"1138","POR","ATP5G2","LYPLA1","SUN2","MT1F","GALNT1","NEDD4","S1PR4","IARS","FBXO30","NDUFB7","VMP1","HMX1","PLD1","TMEM30A",NA,"NUDT7",NA,"MBIP","ID2",NA,"STX11","CDK4","SYNGR2","CLSTN1","DPCD","PYROXD1","RAB11FIP1","DUSP6","TTC3","NUDT15",NA,"XRN2","ARHGAP21","MFHAS1","HIST1H4D",NA,"SLC20A1","AP2S1","PPDPF"
"1139","SPSB1","MAP4K4","PRSS3","ARHGAP25","NOP2","MZT2B","PIK3C2B","TCEAL4","PAXIP1","MDK","SRCAP","A2ML1","HPS6","DNMT1","AP1S1",NA,"SRSF9",NA,"PADI4","TFPI2",NA,"TNFAIP2","KDSR","TPGS1","DHCR7","IBTK","SRSF9","SRSF9","MSC","PSMD14","KLHDC8B",NA,"ZC3H4","CLSTN1","TGFBR2","SLC25A24",NA,"TSPAN3","PTRHD1","SLC38A2"
"1140","AKT1","MRGPRF","SNTA1","CELF2","TIPIN","STK39","POP5","ZEB2","RIMKLB","SFTPC","TBC1D1","ATPIF1","NANOS3","PRMT5","PGF",NA,"CFL1",NA,"CCT8","FARSB",NA,"FAM129B","NAA50","DYRK3","PGAM5","CSGALNACT1","STAM","CD55","NAA50","RHOU","PSIP1",NA,"ARL6IP5","SNORA71B","TMEM39A","SPOCK2",NA,"VGLL3","ATG4C","AMPH"
"1141","FAM20C","CFL1","STAT6","KRCC1","MRPL27","TYMP","STAG3L4","LRP1","CEP290","SRM","ITPR1","GCNT1","EPB41L4A","PSMD12","RHOD",NA,"RASSF4",NA,"PYCR1","LXN",NA,"HDDC2","TUBA1A","MYBL2","PIK3R2","IKZF1","TMEM99","PAFAH1B3","COPG1","ZFP30","RANBP6",NA,"BBX","STK17A","DOCK11","TNFRSF1B",NA,"ADAP1","CLIC1","FAM99B"
"1142","SRRM2","FKBP1B","TMEM214","MAN1A1","PARP14","MAML1","CKB","TIMP3","AVPR1B","CDX1","LRRC4","PLLP","NR3C1","RNF6","TCEAL8",NA,"TMEM161A",NA,"SCML2","ORC2",NA,"CRLF3","GTF2H3","NUFIP1","S100A10","UBXN11","CAPZA2","RPS16","HIST1H2AB","OXER1","SLC19A2",NA,"HARS","APCDD1L","SERPINB8","WHAMM",NA,"H2AFV","GNPDA2","KPNA2"
"1143","ZNF91","KLHL9","ACAP1","IRF2","MEPCE","MSMO1","FIS1","TMED7","LRP6","NEDD4","BLVRA","STK25","ACLY","SPINK4","TCEB2",NA,"HIRA",NA,"TARDBP","SNRPA",NA,"FAM189B","SNX24","HOXB2","APLP1","HERC5","LRP11","AKNA","KANK1","PLK1","SNRPD2",NA,"MRPS10","AQP1","DHCR7","C11ORF16",NA,"CYSTM1","HYOU1","TAP1"
"1144","CAPN2","PPIL1","CSNK1D","ACOT13","REPS1","SLC22A18AS","MRC2","ANP32B","AARS","PSMD12","PAK1","TPM2","ARHGEF12","VPS29","TNFAIP2",NA,"PPP1R35",NA,"TIA1","TCEAL2",NA,"MAP7","DUSP10","MRPS35","CLCN7","PTRHD1","SLC6A7","FBP1","MANF","SYT17","FAM50B",NA,"BCL9","COMMD8","SEPT9","PAPSS1",NA,"DUSP6","PRDX3","TBPL1"
"1145","FAM107B","MAN2B2","GIN1","LYST","YOD1","MALAT1","MRPL3","RALGAPA1","EXT1","RASSF3","CCM2","TSEN34","CABLES2","AKR1B1","CDC37",NA,"CDK2AP2",NA,"ACYP1","COBL",NA,"SLFN11","GYPC","APBA2","HES6","SLC25A6","UAP1","NUDCD2","MET","TMEM88","MSH6",NA,"LBR","FOXO1","CLSTN1","TMEM60",NA,"FGF11","TCEAL8","TES"
"1146","FAM46A","NCK2","MAP3K1","MAML1","CAPN1","UBE4A","PNMAL1","ARL6IP5","GPAM","SLC2A10","LMF1","SERPINB13","HSDL2","ASAH1","DDX17",NA,"RTN4R",NA,"FAM46C","GSTP1",NA,"SPNS1","LITAF","DNMT1","PTPRD","STRN4","CHSY1","WHAMM","ARSJ","PAPD7","COL16A1",NA,"MED29","HRCT1","NF2","PYHIN1",NA,"NR3C1","WWP1","UQCR10"
"1147","GSTP1","PRTFDC1","RELT","MMP25","TMIGD2","CMTM3","CD200","CCT4","MMP25","ZNF22","AMH","CDKN3","KCTD2","DDIT3","MVD",NA,"SAPCD2",NA,"PPP6R2","MXRA8",NA,"APOBEC3G","CDC37","EEF1E1","KLHL5","ARRB1","DEPDC7","LOXL3","FHOD3","TMIGD2","STARD4",NA,"PTPRJ","AKR1B10","PIEZO1","MYOF",NA,"EVI2A","NDUFS7","CHMP4B"
"1148","MOCS1","DPF3","METTL5","PDLIM1","TOP1","MYO1C","RABGAP1","NFAM1","SS18L2","C1ORF127","KCNK6","ETS1","HYAL2","FAM117A","SMO",NA,"TOMM20",NA,"TYMS","TMSB10",NA,"HPRT1","FAM126A","EEF2","SEMA4D","HLX","RILPL1","METTL5","GPC2","KLHL8","PRPF4B",NA,"TBC1D2B","CDHR2","SNORA71B","SMYD2",NA,"RPL13A","CCDC84","ITGA6"
"1149","COPZ2","TTYH3","NUDT7","PLP2","FBXO7","DMBT1","ZNF185","PPIB","ACOT7","CENPA","PLCL2","MMP15","PHACTR4","FZD3","ADORA2B",NA,"CYB5A",NA,"CD96","CRELD2",NA,"NIT2","NCAPH","C7ORF73","TCF19","MEGF9","CHMP4B","NUP37","KRT19","TCF12","ZEB1",NA,"TMEM70","REEP5","FLRT3","AMPD2",NA,"SMNDC1","MICA","METRNL"
"1150","PTPN6","LYSMD2","PAOX","PRPF4B","GNB2","H2AFY2","CYSTM1","CRIM1","ESPL1","GEMIN6","PTPN18","MPZL3","RAVER1","ZNF766","CD81",NA,"ENOPH1",NA,"CPNE3","HLA-G",NA,"PFKFB3","RUFY3","CCDC112","ALG1","CNPY3","SS18L2","CTBP2","MPP4","SCOC","PCLO",NA,"MRPL32","RIT1","MGLL","DOK2",NA,"MNT","WBP11","IL6"
"1151","SYNM","ZRSR2","ZNF579","SCPEP1","DCAF6","KANK2","PMVK","FGD3","LINC00116","PIGP","ZNF655","RAPGEF5","UBN2","TIMM8A","CPD",NA,"NIPSNAP3A",NA,"IKZF5","HS6ST2",NA,"CARD16","CTBP2","MNT","DAP","FAM109A","TUBA4B","FAM13A-AS1","REEP3","UNC13B","SNORA61",NA,"PMF1","SEPT11","RAVER1","TLR1",NA,"MOXD1","COX6B1","C7ORF73"
"1152","TNFRSF12A","IFT52","CDIPT","EIF2AK3","PRRG4","KDSR","TMEM14C","INSIG1","ZNHIT1","PNRC1","PAOX","RBM3","ATP5G2","BRCA1","PER1",NA,"PPP1CA",NA,"PFDN4","MMP25",NA,"TRIM28","KIAA0101","NPW","NDUFA3","PLEC","CDIPT","IFI44","TRO","EEF1E1","USP9Y",NA,"TIMP1","DUSP5","TNIK","GIMAP1",NA,"PURA","CYB561D1","MTHFD1L"
"1153","COX7A1","KIFAP3","HBG2","MLLT11","VMP1","TOMM7","PDZD8","MXI1","HNRNPA3","ALYREF","BCL6","ZWINT","HMGB1","TEC","HOMER3",NA,"CELF2",NA,"CUX1","OVOL2",NA,"FNDC3B","PCDH7","PON2","PPP2R1A","BCKDK","FGF1","NAA60","ZNF175","NDUFA5","ARHGAP19",NA,"NDUFAB1","PCDHB14","PTPRJ","TNFAIP3",NA,"MPV17L","FAM111A","PJA1"
"1154","EFNB1","PLEKHB1","MRPL13","PARP8","APOL3","C1ORF127","SLC4A1AP","SH3BP4","ITGB3BP","C10ORF11","FAM46C","ARHGAP27","HTRA2","CMC2","KCNJ8",NA,"HNRNPUL2",NA,"MRPL22","TIMM13",NA,"IER5","PHLDB1","SKAP2","SHANK2","MAML2","STEAP3","UBE4A","DCTN1","IFT81","MEST",NA,"RPS6KA5","SDF4","AAK1","ARV1",NA,"RAVER1","KIAA0922","SNRPB2"
"1155","RHBDF2","YAP1","PYROXD1","ZNF430","DBF4","C4ORF48","MELK","TSKU","NDUFA13","GJB1","FAR1","RASL12","TSSK3","MRPL27","SEPT9",NA,"SLIRP",NA,"SLC2A5","YIPF3",NA,"MRPL37","EIF2AK2","SPAG5","TRIM62","PALLD","TMEM200B","FAM21A","PPME1","JAKMIP2","MRPS6",NA,"PATL2","SEC61B","SLC22A15","HMX1",NA,"VPS26A","SH2B3","STON1"
"1156","SDC4","ZNF462","COQ10A","EIF2A","FAM136A","PDE4DIP","SLC35F2","CD63","RASGEF1A","SDS","OLFM4","SEC14L1","ASH2L","TUFM","SIX2",NA,"PRKDC",NA,"CFP","BNC2",NA,"REL","NPM2","DYX1C1","MRPS2","CCDC149","VMP1","RAB33A","TRIOBP","REEP1","PTPN6",NA,"STK4","ARF4","HOXA11","TLK1",NA,"DCHS1","SMCHD1","CKB"
"1157","CFB","ERRFI1","DNAJB2","IRAK3","GAK","PIGZ","FAM65B","FAM49A","ENHO","ABCG4","PPP1CA","CDC34","GNB2","HDLBP","AIG1",NA,"CCT8",NA,"MSMO1","RPL8",NA,"C15ORF61","PDE3B","GAK","ZC3H4","INPP5E","HMX1","CNTD2","TUBA1C","TRIB2","GNG7",NA,"ZDHHC7","HSD17B11","PLK1",NA,NA,"JAM3","KLF9","ENO2"
"1158","DZIP1L","PCYOX1L","ELOVL5","KBTBD8","H2AFY","LITAF","IFIT1","STX11","FBXO21","PCNA","IL17RA","FUCA1","CSK","MRPL50","ERCC6",NA,"CLEC5A",NA,"P4HB","VMP1",NA,"ODC1","NRBP2","MTA1","PSENEN","STAB1","IRF2BPL","NCOA6","MRVI1","UBA2","TCF12",NA,"CKS2","KCNS1","EZR",NA,NA,"MTHFD1L","OMA1","FAM47C"
"1159","EIF4G1","C5ORF51","MALAT1","PTPRK","CHMP4B","NHLRC4","CHST11","TIFA","MOB1B","PSMD3","PLD3","IER2","CXCL16","TUFT1","NENF",NA,"NUP62",NA,"STARD3","MRPL3",NA,"TMEM205","TLR6","ANP32E","WLS","CLIP4","MRPL36","RAB37","SCG5","EPPK1","AGL",NA,"KRR1","LCLAT1","RBBP4",NA,NA,"SOST","SNORA71B","LYPD1"
"1160","GAS7","CRIP2","UHMK1","SEC23A","DAZAP2","C5ORF46","CTBP2","HYOU1","PFKP","NPPA","PTPN22","SORBS3","MARS","EPB41L4A","PKN1",NA,"TYMP",NA,"ADCY7","RCN2",NA,"HNRNPCL1","ZWILCH","ASPG","CD59","GYG1","RABGAP1","RIN3","BAG2","KIF21A","FAM24B",NA,"OTUD6B","NUDT11","SERBP1",NA,NA,"VMP1","ZNF573","PHGDH"
"1161","PDAP1","CTNNA1","ZBED2","DBF4","ERH","KBTBD7","NKRF","IL1B","AGMAT","OXCT1","PHF20","TMCO3","PFDN5","N4BP2L2","RASSF8",NA,"ARMCX2",NA,"BBX","STEAP2",NA,"TMEM70",NA,"CD44","CFI","LTB","PCNA","ACAP1","NPAS1","TACC3","PTOV1",NA,"ELMO1","ANXA11","NOX4",NA,NA,"ACAT2","C14ORF1","STAT5A"
"1162","PKN1","CUEDC2","DPAGT1","MAN2B1","MTFP1","PLBD1","SLC22A14","RMI2","ATRX","PPP1CA","STARD3","FAM134B","WDR31","NDUFA11","TNRC18",NA,"BCL6",NA,"THOC7","RGS10",NA,"ABHD2",NA,"ARHGEF3","LY6E","MXD1","TXN","MOGS","ACTG1","ABCB10","S100A4",NA,"TTC38","BMP6","PRDM1",NA,NA,"ACO1","FAM122B","ATP5G2"
"1163","PTGFRN","HDHD2","GAK","GPR183","BST2","SACS","TFR2","TUSC1","LINC00526","WDR31","TSNARE1","HSD11B1","ZNF683","PHF14","CENPF",NA,"FAM46C",NA,"BLVRA","SHROOM2",NA,"AK3",NA,"MAD2L2","ORAI2","PLAGL1","DUSP1","TMEM106C","GFRA1","AP1S2","SRP14",NA,"CSNK1D","NEU4","PTPN13",NA,NA,"CPQ","MTFP1","EIF1"
"1164","FAH","SCAMP5","GOLPH3L","NFKBIZ","CDK6","STAT5A","ZBTB20","BCL10","CSE1L","NDUFA13","CASZ1","IKBIP","ANKRA2","CWC27","NEK7",NA,"GPD1L",NA,"COPS6","TUFT1",NA,"COMMD8",NA,"SRSF9","SPATA20","RELT","GNA11","ARHGAP10","PLXNA1","MBIP","ABI2",NA,"PFDN2","PIGZ","TMEM204",NA,NA,"MT1F","SEC16A","FKBP7"
"1165","PLCG2","SEC23A","H2AFV","PRF1","NDUFS8","TAF12","SLC24A3","CCND2","PKIA","TSPYL4","RUSC1","LPP","ERH","GPN3","PLEKHF1",NA,"H2AFY2",NA,"NFKBIZ","XRCC5",NA,"ENOPH1",NA,"TRIM24","HSPA1B","TIGD5","TOX2","LINC00339","SNX7","MPV17L","CISD1",NA,"ZNF587B","PJA1","CD274",NA,NA,"NOTCH3","UBE2L6","RRM2"
"1166","ADORA3","SRI","NDUFV1","CISD1","TUBGCP4","TMSB10","SLPI","LINGO3","SH2B3","TPP1","NUMBL","YDJC","PPP2R1B","INPP5D","SCD5",NA,"PSMD3",NA,"SIGLEC10","ENHO",NA,"GGH",NA,"CISD1","HSPA9","STAT6","ITGA4","TGFBI","TTC9","PIK3R3","MTF2",NA,"CCT4","TNFRSF12A","ERN1",NA,NA,"SLC1A1","ILF3","SMOC1"
"1167","DYNC1I2","HEATR5A","SPDEF","HOXB2","ASCC2","MRVI1-AS1","CCT8","TBC1D2B","TXNDC16","ALDH18A1","PRKD2","EZR","RELT","IPP","TRIM28",NA,"CYFIP2",NA,"HIST1H2AK","RARS2",NA,"PPIB",NA,"FNBP1","MAP3K9","STK19","PROCR","FBXO9","GLRX","SPAG5","MYB",NA,"CSTB","ABI3","EID3",NA,NA,"EIF4E","LSM2","ADI1"
"1168","SCARB2","HIP1","CD70","AP2S1","DDX10","QDPR","GSTA4","FBXO30","XRCC5","CAV3","CAPG","FAM69B","ANKHD1","MBIP","TRIOBP",NA,"IRF1",NA,"MPV17","ST6GALNAC3",NA,"SCARB1",NA,"GEMIN4","RHOBTB3","TUBA4A","SLC1A5","RAB3D","IGFBPL1","EFEMP1","PTCRA",NA,"MAP4K1","PNMAL1","PARM1",NA,NA,"MAN1A1","SCOC","ALPPL2"
"1169","SOCS3","SUSD1","PPP2R1A","CCPG1","TOMM20","RALGAPA1","GYG1","C5ORF15","PPP1R3B","CDC45","IGF1R","FOXA1","FAM99B","RBM48","FSTL3",NA,"RAB11FIP1",NA,"UBE2C","ARPC1B",NA,"CTSA",NA,"LRRC34","ALYREF","DENND4B","ZNF579","RHOU","NBEAL1","LAMP5","RPL11",NA,"PLAGL1","YIPF4","TSPAN10",NA,NA,"PSPC1","CLK4","ZBTB20"
"1170","TRAM2","B2M","SNN","DLEU1","ASF1B","ACPT","NBR2","CMTM3","CELF2","HNF1B","LAT","TRIO","MYO1C","ATP5C1","HR",NA,"UBA1",NA,"ACCS","SLIRP",NA,"FAM69A",NA,"TSPAN17","KCTD5","DPM1","IAH1","TMSB4Y","SSPN","UBQLN2","B3GALT6",NA,"UBE2Q2","ARNT2","TXLNA",NA,NA,"SLC9A1","CMTM6","EHD3"
"1171","ANKHD1","LMO1","ST3GAL5","DYRK2","ATP5G1","MAOA","RSAD1","RAB10","MAPK13","DOCK6","PDE1B","CDC37","OSBPL2","ODF2L","PLA2G5",NA,"AVPR1B",NA,"BCL2A1","THG1L",NA,"PHLDA1",NA,"EIF3E","KPNA2","EXOSC5","SELPLG","MRPS33","HNRNPH1","KLF10","C5ORF51",NA,"CITED2","CHPF","ETV4",NA,NA,"ADAM19","RELA","FAM21C"
"1172","PRKCH","PHPT1","WDR3","FAM189B","CCDC167","RHOD","ZNF664","C3","MYC","ORMDL2","PRELID1","NEAT1","RPL11","RPL15","PTGER4",NA,"DMXL2",NA,"SUCNR1","TNFAIP8",NA,"TMEM117",NA,"SAMD9","RIN2","RUSC2","TEFM","RPL8","MAP3K5","FLVCR1","PABPC1L",NA,"GIMAP1","IRX5","PRKDC",NA,NA,"ADAMTS19","RPS21","TSPAN10"
"1173","SORBS3","UST","YWHAG","FBXL3","MRPS27","ANXA11","CDC45","LMBRD1","CXXC5","SLC6A3","FAM46A","PCSK1N","ABCF1","SNRPB","RAB31",NA,"MT1G",NA,"SNHG1","BBS12",NA,"ATOX1",NA,"MYD88","ABHD14A","FBXO25","CDKN2C","TFEC","OLAH","HLA-F","XRCC5",NA,"C11ORF16","ZNF683","PTP4A2",NA,NA,"COL22A1","SDHD","RHBG"
