"","p_val","avg_logFC","pct_in_cluster","pct_out_cluster","p_val_adj","avg_UMI_in_cluster","avg_UMI_out_cluster","cluster","gene"
"169",0,3.703954402,0.78,0.096,0,23.84720383,0.906672686,8,"Krt13"
"170",2.42e-154,4.452966015,0.217,0.035,6.77e-150,52.03482227,1.421501696,8,"Chil4"
"171",0,-4.121874749,0.214,0.827,0,0.639546485,27.5451068,8,"Vim"
"172",5.07e-269,-5.29351116,0.244,0.644,1.42e-264,0.41821935,54.62231345,8,"Apoe"
"173",1.04e-245,-4.072004015,0.428,0.429,2.92e-241,1.449682452,40.20075194,8,"Dcn"
"174",1.48e-209,-5.114569708,0.032,0.383,4.13e-205,0.032398525,34.76730948,8,"Lyz2"
"175",9.42e-207,-5.665022297,0.078,0.452,2.64e-202,0.253071531,62.5795575,8,"Cd74"
"176",4.21e-187,-5.055573416,0.024,0.363,1.18e-182,0.021523935,32.97252213,8,"Il1b"
"177",9.92e-179,-4.339065667,0.03,0.36,2.78e-174,0.040781723,20.0643749,8,"H2-Aa"
"178",3.87e-129,-4.078741365,0.242,0.423,1.08e-124,0.453602445,23.56230615,8,"H2-Ab1"
"179",6.45e-87,-4.18529645,0.012,0.2,1.8e-82,0.020019041,17.55701212,8,"Ccl3"
"180",9.69e-33,-4.386962562,0.048,0.155,2.71e-28,0.160773201,23.28592749,8,"S100a8"
"181",0,8.142555841,0.888,0.091,0,616.6209886,1.185589002,9,"S100a9"
"182",0,7.834386999,0.894,0.117,0,499.8581938,1.194468235,9,"S100a8"
"183",0,7.17922754,0.899,0.161,0,362.9328715,1.511067858,9,"Ccl3"
"184",0,6.292206996,0.706,0.134,0,234.3528675,2.003146022,9,"Ccl4"
"185",0,5.970105144,0.937,0.311,0,192.4641561,2.08616959,9,"Ccrl2"
"186",0,5.776882047,0.878,0.075,0,72.24387,0.335846343,9,"Irg1"
"187",0,5.46215212,0.653,0.038,0,48.73198371,0.128143002,9,"G0s2"
"188",0,5.425387102,0.833,0.145,0,57.1307976,0.352701669,9,"Hcar2"
"189",0,5.207390636,0.693,0.035,0,39.35162091,0.092144755,9,"Il1f9"
"190",0,5.145586167,0.781,0.082,0,51.29778272,0.477431978,9,"Hdc"
"191",0,-3.347108924,0.127,0.77,0,0.860650553,17.93411459,9,"Lgals1"
"192",5.63e-281,-4.732823312,0.013,0.489,1.58e-276,0.070005904,27.45168259,9,"Sparc"
"193",1.29e-256,-4.926345354,0.009,0.453,3.62e-252,0.032209177,30.38668411,9,"Col3a1"
"194",1.84e-253,-5.308048532,0.008,0.447,5.16e-249,0.039323601,40.17490597,9,"Dcn"
